# super-radio airports  source: OurAirports (public domain)  fetched 2026-08-31
# ident	name	type	lat	lon	elev_ft
BE-0052	Elsenborn Air Base	small_airport	50.484818	6.183014	1830
BIAE	Arngerðareyri Airport	small_airport	65.90470123291016	-22.363300323486328	20
BIAL	Álftaver Airport	small_airport	63.53979	-18.44374	160
BIAR	Akureyri International Airport	large_airport	65.656573	-18.072018	6
BIBA	Bakki Airport	small_airport	63.556099	-20.137501	45
BIBD	Bildudalur Airport	medium_airport	65.641296	-23.5462	18
BIBF	Borgarfjörður eystri Airport	small_airport	65.516769	-13.81578	80
BIBI	Baeir Airport	small_airport	66.097838	-22.569713	60
BIBL	Blönduós Airport	small_airport	65.644997	-20.2875	131
BIBR	Búðardalur Airport	small_airport	65.074583	-21.802193	131
BIBV	Breiðdalsvík Airport	small_airport	64.790037	-14.043927	8
BIDV	Djúpivogur Airport	small_airport	64.642372	-14.277297	9
BIEG	Egilsstaðir Airport	medium_airport	65.2833023071289	-14.401399612426758	76
BIFL	Flúðir Airport	small_airport	64.144595	-20.327069	270
BIFM	Fagurhólsmýri Airport	small_airport	63.874699	-16.6411	56
BIFZ	Forsæti Airport	small_airport	63.84816	-20.716267	32
BIGF	Grundarfjörður Airport	small_airport	64.991402	-23.224701	17
BIGH	Gunnarsholt Airport	small_airport	63.85329818725586	-20.262800216674805	200
BIGJ	Gjögur Airport	small_airport	65.9953	-21.3269	83
BIGR	Grímsey Airport	medium_airport	66.5458	-18.0173	66
BIGS	Grímsstaðir Airport	small_airport	65.633394	-16.154178	1279
BIHE	Herðubreiðarlindir Airport	small_airport	65.190902	-16.204902	1500
BIHI	Hveravellir Airport	small_airport	64.886101	-19.4925	2000
BIHK	Hólmavík Airport	small_airport	65.704697	-21.6964	90
BIHL	Hella Airport	small_airport	63.8358	-20.377501	66
BIHN	Hornafjörður Airport	medium_airport	64.295601	-15.2272	24
BIHR	Hvolsvöllur Airport	small_airport	63.752743	-20.250893	109
BIHS	Hrafnseyri Airport	small_airport	65.75716	-23.461404	30
BIHU	Húsavík Airport	medium_airport	65.952301	-17.426001	48
BIHV	Krókstaðarmelar Airport	small_airport	65.270241	-20.848696	164
BIHY	Hrísey Airport	small_airport	65.989204	-18.394117	15
BIHZ	Húsafell Airport	small_airport	64.699773	-20.89216	380
BIIS	Ísafjörður Airport	medium_airport	66.058098	-23.1353	8
BIKA	Kaldármelar Airport	small_airport	64.7789	-22.256901	160
BIKE	Kerlingafjöll Airport	small_airport	64.705002	-19.410601	2100
BIKF	Keflavik International Airport	large_airport	63.985001	-22.6056	171
BIKJ	Kroksfjard-Arnes Airport	small_airport	65.46700286865234	-21.950000762939453	49
BIKL	Kirkjubæjarklaustur Airport	small_airport	63.792861	-18.003531	66
BIKP	Kópasker Airport	small_airport	66.310799	-16.4667	20
BIKR	Sauðárkrókur Airport	small_airport	65.73169708249999	-19.572799682599996	8
BIMK	Múlakot Airport	small_airport	63.714103	-19.88121	260
BIMM	Melgerðismelar Airport	small_airport	65.48266	-18.170106	89
BIMS	Tungubakkar Airport	small_airport	64.181754	-21.706101	5
BIND	Nýjidalur Airport	small_airport	64.719566	-18.067031	2625
BINF	Norðfjörður Airport	small_airport	65.131897	-13.7464	13
BIRE	Reykhólar Airport	small_airport	65.45262908935547	-22.20611572265625	60
BIRF	Rif Airport	small_airport	64.911377	-23.818205	18
BIRG	Raufarhöfn Airport	small_airport	66.406403	-15.9183	39
BIRK	Reykjavík Domestic Airport	medium_airport	64.128732	-21.93759	48
BIRL	Mývatn Airport	medium_airport	65.6558	-16.9181	1030
BIRS	Reykjanes Airport	small_airport	65.9142	-22.4214	10
BISA	Sandá Airport	small_airport	65.134399	-19.663099	1580
BISF	Selfoss Airport	small_airport	63.929199	-21.0378	45
BISG	Steinasandur Airport	small_airport	64.16547	-15.91334	30
BISH	Stora-Holt Airport	small_airport	65.4000015258789	-21.933000564575195	100
BISI	Siglufjörður Airport	medium_airport	66.137847	-18.908157	10
BISK	Skógasandur Airport	small_airport	63.517682	-19.4925	130
BISN	Svínafell Airport	small_airport	64.384723	-15.371935	60
BISP	Sprengisandur Airport	small_airport	64.6541976928711	-18.49690055847168	2050
BISR	Stórikroppur Airport	small_airport	64.632625	-21.490859	165
BISS	Sandskeið Airport	small_airport	64.060799	-21.574699	600
BIST	Stykkishólmur Airport	small_airport	65.058851	-22.764616	42
BISV	Skálavatn Airport	small_airport	64.115301	-18.785153	2000
BITE	Þingeyri Airport	small_airport	65.8703	-23.559999	65
BITM	Þórsmörk Airport	small_airport	63.689999	-19.563101	600
BITN	Þórshöfn Airport	small_airport	66.218459	-15.334739	65
BITO	Thorisos Airport	small_airport	64.354373	-18.836514	1840
BIVA	Vatnsnes Airport	small_airport	64.03309631347656	-20.651100158691406	
BIVH	Varmahlid Airport	small_airport	65.55694580078125	-19.428056716918945	27
BIVI	Vík Airport	small_airport	63.4217	-18.8883	100
BIVM	Vestmannaeyjar Airport	medium_airport	63.42430114746094	-20.278900146484375	326
BIVO	Vopnafjörður Airport	medium_airport	65.720596	-14.8506	16
DE-0003	August Euler Airfield	small_airport	49.853757	8.586243	358
DE-0004	Gransee Airfield	small_airport	53.00628	13.202177	164
DE-0005	Warngau Airfield	small_airport	47.82399	11.70398	2380
DE-0006	Locktow Airfield	small_airport	52.1165	12.709562	213
DE-0029	Berlinchen Airfield	small_airport	53.2251775192	12.565526962299998	
DE-0038	Utscheid Glider Field	small_airport	49.997778	6.342778	1390
DE-0039	Aichach Airfield	small_airport	48.471797	11.134243	1445
DE-0040	Zierenberg Airfield	small_airport	51.367	9.336	1450
DE-0041	Zellhausen Sport Airfield	small_airport	50.021637	8.983212	370
DE-0042	Weißenburg-Wülzburg Glider Field	small_airport	49.025666	11.018422	2027
DE-0043	Wilsche Glider Field	small_airport	52.524677	10.462597	191
DE-0044	Witzenhausen-Burgberg Glider Field	small_airport	51.349735	9.824789	659
DE-0046	Wildberg Glider Airfield	small_airport	48.637325	8.733327	1670
DE-0047	Wächtersberg-Hub Glider Airfield	small_airport	48.614931	8.755457	1965
