# waveshark airport frequencies  source: OurAirports (public domain)  fetched 2026-08-31
# ident	type	description	mhz
BIAR	ACC	REYKJAVIK ACC	119.7
BIAR	RDR	RADAR	118.7
BIAR	TWR	TWR	118.2
BIBD	ACC	REYKJAVIK ACC	119.7
BIBD	AFIS	INFO	119.1
BIEG	ACC	REYKJAVIK ACC	119.7
BIEG	AFIS	RDO	119.4
BIHN	ACC	REYKJAVIK CON	119.7
BIHN	AFIS	INFO	118.1
BIHU	ACC	REYKJAVIK ACC	119.7
BIHU	AFIS	INFO	118.1
BIIS	ACC	REYKJAVIK ACC	119.7
BIIS	AFIS	INFO	118.8
BIKF	A/G	AIR GND	131.9
BIKF	APP	APP	119.3
BIKF	ATIS	ATIS	128.3
BIKF	DEP	DEP	119.3
BIKF	GND	GND	121.9
BIKF	OPS	BASE OPS	129
BIKF	PMSV	PMSV  METRO	125
BIKF	TWR	TWR	118.3
BIMS	afis	Tungubakki	118.2
BIMS	TWR: BIRK	Reykjavik Tower	118
BIRK	A/D	APP/DEP	119
BIRK	ATIS	ATIS	128.1
BIRK	GND	GND	121.7
BIRK	RDO	RDO	126.55
BIRK	TWR	TWR	118
BISA	TRFC	Trafic	118.1
BISI	ACC	REYKJAVIK ACC	119.7
BISI	RDO	RDO	118.1
BISS	TRFC	Traffic	119.9
BITN	ACC	REYKJAVIK ACC	119.7
BITN	AFIS	INFO	118.1
BIVM	ACC	REYKJAVIK ACC	119.7
BIVM	DEP	REYKJAVIK DEP	119
BIVM	TWR	TWR	118.5
DE-0006	AFIS	Langen Information	125.8
DE-0006	INFO	Locktow Info	132.34
DE-0042	Info		126.035
DE-0043	AFIS	Langen Information	119.825
DE-0043	INFO	Wilsche Radio	121.41
DE-0047	AFIS	Langen Information	128.95
DE-0047	INFO	Waechtersberg Radio	119.415
DE-0060	Info	Karlstadt Info	122.63
DE-0065	CTAF	TRÖSTAU INFO	118.535
DE-0065	FIS	LANGEN INFORMATION	125.8
DE-0094	CTAF	Agathazell Info	123.98
DE-0106	AFIS	Langen Information	125.1
DE-0106	INFO	Hoya Radio	120.71
DE-0111	CTAF	Berliner Heide Radio	132.81
DE-0113	AFIS	Langen Information	128.525
DE-0113	INFO	BLEXEN INFO	120.605
DE-0114	INFO	Farrenberg	130.185
DE-0118	CTAF	Scheuen Info	134.535
DE-0121	VHF	Waterkant Start	129.555
DE-0125	AFIS	Langen Information	119.825
DE-0125	INFO	Peine Radio	122.83
DE-0137	Info		123.37
DE-0150	Info		118.425
DE-0152	RADIO		125.385
DE-0178	RADIO	Wolfsaap Glider	118.21
DE-0179	RADIO	Emmerich Radio	128.74
DE-0180	GUSTORFER HÖHE	RADIO	135.09
DE-0190	CTAF		123.425
DE-0195	info		120.975
DE-0198	Dolmar INFO		120.975
DE-0200	RADIO	Kerken Ultralight	126.01
DE-0201	TWR	Nörvenich Tower	122.1
DE-0202	AFIS	Langen Information	128.95
DE-0202	CTAF	Eutingen Radio	133.385
DE-0207	INFO	Rade Radio	118.265
DE-0210	RADIO	WANLO SEGELFLUG	132.565
DE-0229	Info		123.35
DE-0234	INFO	Heiligenberg Segelflug	123.5
DE-0238	RADIO	Klippeneck Radio	135.09
DE-0240	info		120.075
DE-0247	CTAF	Übersberg Info	123.15
DE-0273	Info		120.4
DE-0276	info		123.425
DE-0285	Info		123.425
DE-0289	AFIS	Langen Information	123.525
DE-0289	INFO	Imsweiler Radio	130.78
DE-0291	AFIS	AFIS/Info	123.425
DE-0293	Info		129.975
DE-0295	Info		129.975
DE-0304	CTAF	Hayingen Segelflug	129.755
DE-0309	CTAF		119.75
DE-0311	CTAF	Isny Information	118.08
DE-0313	CTAF	Leibertingen	121.21
DE-0314	Info	Leuzendorf Segelflug	123.35
DE-0321	CTAF	Münsingen Info	121.215
DE-0322	CTAF	Musbach Radio	124.865
DE-0326	RADIO	Oppingen-Radio	123.155
DE-0328	RADIO	Rastatt-Baldenau Radio	132.64
DE-0334	AFIS	Langen Information	128.95
DE-0334	INFO	Sinsheim Radio	119.885
DE-0336	Info	Altes Lager Start	123.425
DE-0337	Info	Crawinkel Info	126.5
DE-0338	Info		123.5
DE-0339	Info		120.975
DE-0345	Info		123.425
DE-0348	Info		123.425
DE-0381	Info		133.585
DE-0408	8.33	Stetten Info	123.425
DE-0412	Gössenheim INFO	Gössenheim Info	120.975
EBAR	Info		123.425
EBAV	Info	Avernas Radio	129.975
EBAW	APP	BRUSSELS APP	118.255
EBAW	ATIS		124.205
EBAW	GND	ANTWERPEN GND	121.905
EBAW	TWR	ANTWERPEN TWR	135.205
EBBE	APP	Combined MIL Approach	122.5
EBBE	APP	APP	122.825
EBBE	GCA	GCA	123.3
EBBE	GND	GND	122.1
EBBE	TWR	TWR	122.1
EBBL	APP		134.48
EBBL	GND	TAXI	122.1
EBBL	TWR		134.105
EBBR	APP	APP	118.255
EBBR	ATIS	ATIS DEP	121.755
EBBR	ATIS	ATIS ARR	132.475
EBBR	CLD	CLNC DEL	121.95
EBBR	DEP	DEP	126.63
EBBR	GND	GND North	118.055
EBBR	GND	GND South	121.88
EBBR	OPS	MELSBROEK OPS	140.575
EBBR	TWR	TWR (RWY 07R/25L and 01)	118.605
EBBR	TWR	TWR (RWY 07L/25R or 19)	120.78
EBBR	UNIC	ABELAG UNICOM	130.55
EBBT	FIS	Brasschaat Radio	122.905
EBBY	Info	Genappe Radio	132
EBBZ	FIS		118.765
EBCF	INFO		123.2
EBCI	APP	CHARLEROI APP	133.125
EBCI	ATIS	ATIS	134.625
EBCI	GND	CHARLEROI GND	121.8
EBCI	TWR	CHARLEROI TWR	121.3
EBCV	ARR	BRUSSELS APP	126.625
EBCV	ATIS	ASOS 3	37.162
EBCV	DEP	BRUSSELS DEP	126.625
EBCV	GND	GND	141.75
EBCV	PTD	PTD	27.91
EBCV	TWR	TWR	136.5
EBDT	INFO	Schaffen Radio	118.93
EBFN	APP	APP	122.5
EBFN	EMR	SAR	123.1
EBFN	EMR	SAR	568
EBFN	GND	TAXI	122.1
EBFN	INFO	BELGA INFO	129.325
EBFN	TWR	TWR	122.1
EBFS	APP	APP	122.5
EBFS	GCA	GCA	123.3
EBFS	GND	GND	122.1
EBFS	TWR	TWR	122.1
EBGB	INFO	Grimbergen Radio	119.5
EBHN	CTAF	Tower	135
EBKH	Info		119.2
EBKT	AFIS	Kortrijk Information	120.255
EBKT	Backup AFIS	Backup Kortrijk Information	134.055
EBLG	A/D	APP	119.28
EBLG	ATIS	ATIS	126.255
EBLG	CLD	CLNC DEL	121.8
EBLG	GND	GND	118.13
